x,y,layer
-120.99166666666666,34.93333333333333,424
-120.975,34.93333333333333,398
-120.95833333333333,34.93333333333333,367
-120.94166666666666,34.93333333333333,333
-120.925,34.93333333333333,293
-120.90833333333333,34.93333333333333,264
-120.89166666666667,34.93333333333333,232
-120.875,34.93333333333333,211
-120.85833333333333,34.93333333333333,189
-120.84166666666667,34.93333333333333,164
-120.825,34.93333333333333,150
-120.80833333333334,34.93333333333333,127
-120.79166666666667,34.93333333333333,113
-120.775,34.93333333333333,99
-120.75833333333334,34.93333333333333,86
-120.74166666666666,34.93333333333333,69
-120.725,34.93333333333333,53
-120.70833333333333,34.93333333333333,46
-120.69166666666666,34.93333333333333,33
-120.675,34.93333333333333,20
-120.65833333333333,34.93333333333333,6
-121.49166666666666,34.916666666666664,735
-121.475,34.916666666666664,620
-121.45833333333333,34.916666666666664,498
-121.44166666666666,34.916666666666664,467
-121.425,34.916666666666664,466
-121.40833333333333,34.916666666666664,462
-121.39166666666667,34.916666666666664,445
-121.375,34.916666666666664,453
-121.35833333333333,34.916666666666664,453
-121.34166666666667,34.916666666666664,463
-121.325,34.916666666666664,474
-121.30833333333334,34.916666666666664,483
-121.29166666666667,34.916666666666664,486
-121.275,34.916666666666664,494
-121.25833333333334,34.916666666666664,559
-121.24166666666666,34.916666666666664,573
-121.225,34.916666666666664,569
-121.20833333333333,34.916666666666664,571
-121.19166666666666,34.916666666666664,572
-121.175,34.916666666666664,573
-121.15833333333333,34.916666666666664,574
-121.14166666666667,34.916666666666664,572
-121.125,34.916666666666664,569
-121.10833333333333,34.916666666666664,564
-121.09166666666667,34.916666666666664,555
-121.075,34.916666666666664,467
-121.05833333333334,34.916666666666664,400
-121.04166666666667,34.916666666666664,454
-121.025,34.916666666666664,475
-121.00833333333334,34.916666666666664,445
-120.99166666666666,34.916666666666664,424
-120.975,34.916666666666664,396
-120.95833333333333,34.916666666666664,363
-120.94166666666666,34.916666666666664,327
-120.925,34.916666666666664,290
-120.90833333333333,34.916666666666664,263
-120.89166666666667,34.916666666666664,233
-120.875,34.916666666666664,213
-120.85833333333333,34.916666666666664,190
-120.84166666666667,34.916666666666664,168
-120.825,34.916666666666664,152
-120.80833333333334,34.916666666666664,127
-120.79166666666667,34.916666666666664,114
-120.775,34.916666666666664,101
-120.75833333333334,34.916666666666664,87
-120.74166666666666,34.916666666666664,72
-120.725,34.916666666666664,55
-120.70833333333333,34.916666666666664,45
-120.69166666666666,34.916666666666664,31
-120.675,34.916666666666664,22
-120.65833333333333,34.916666666666664,2
-121.49166666666666,34.9,690
-121.475,34.9,598
-121.45833333333333,34.9,525
-121.44166666666666,34.9,474
-121.425,34.9,467
-121.40833333333333,34.9,463
-121.39166666666667,34.9,449
-121.375,34.9,437
-121.35833333333333,34.9,458
-121.34166666666667,34.9,461
-121.325,34.9,465
-121.30833333333334,34.9,466
-121.29166666666667,34.9,471
-121.275,34.9,475
-121.25833333333334,34.9,512
-121.24166666666666,34.9,567
-121.225,34.9,566
-121.20833333333333,34.9,566
-121.19166666666666,34.9,568
-121.175,34.9,569
-121.15833333333333,34.9,570
